word	freq	segmented	gloss
gukna	28	guk-na	?-NMLZ
limte	28	lim-te	?-PL
kuangte	28	kuang-te	?-PL
khuampeek	28	khua-mpeek	town-?
kite	28	ki-te	?-PL
thaute	28	thau-te	?-PL
peengkulte	28	peengkul-te	?-PL
bangbangin	28	ba-ngbangin	owe-?
cithei	28	ci-thei	say-?
khauhtakin	28	kha-uhtakin	spirit-?
adonijah	28	a-donijah	3SG-?
baasha	28	ba-asha	owe-?
ahasueras	28	a-hasueras	3SG-?
nawkin	27	na-wkin	2SG-?
hici	27	hi-ci	be-?
khatna	27	kha-t-na	spirit-?-NMLZ
tote	27	tot-e	contend-?
nawi	27	na-wi	2SG-?
piapa	27	pia-pa	give-?
tungnung	27	tung-nung	arrive-?
muhsa	27	muh-sa	see.II-?
sawp	27	sa-wp	flesh-?
thudon	27	thu-don	word-?
tuili	27	tui-li	water-?
tuikhang	27	tui-khang	water-?
abijah	27	a-bijah	3SG-?
mikaiah	27	mi-kaiah	person-?
kongcingte	27	kong-ci-ng-te	1SG→3-say-?-PL
ngaihsutnate	27	ngaihsut-na-te	consider-?-PL
baruk	27	ba-ruk	owe-?
gamtate	27	gam-ta-te	land-?-PL
phattuam	27	phattua-m	reward-?
sanna	26	sa-n-na	flesh-?-NMLZ
khol	26	kho-l	labor-?
hiv	26	hi-v	be-?
samsak	26	sam-sak	call-?
piakik	26	piak-ik	give.to-?
nangmahmah	26	na-ngmahmah	2SG-?
sagihvei	26	sagih-vei	seven-?
tonpih	26	to-npih	sit-?
nekhawm	26	nek-hawm	eat.II-?
numeino	26	numei-no	woman-?
atna	26	a-t-na	3SG-?-NMLZ
tungsiah	26	tung-siah	arrive-?
laite	26	lai-te	?-PL
bangsak	26	ba-ngsak	owe-?
vanglianpa	26	va-nglianpa	go.and-?
khasiat	26	kha-siat	spirit-?
paunak	26	pau-nak	speak-?
vankoihna	26	va-nkoih-na	go.and-?-NMLZ
kuate	26	kua-te	?-PL
abishai	26	a-bishai	3SG-?
panmun	26	pa-nmun	father-?
keng	26	ken-g	only-?
vaikhak	26	va-ikhak	go.and-?
hihsa	25	hi-hsa	be-?
aram	25	a-ram	3SG-?
cik	25	ci-k	say-?
migitna	25	mi-git-na	person-?-NMLZ
kisuanna	25	kisuan-na	?-NMLZ
kaihkhop	25	ka-ihkhop	1SG-?
lunggulh	25	lung-gulh	feel-?
hopihna	25	hopih-na	?-NMLZ
dawnna	25	dawn-na	?-NMLZ
ip	25	i-p	1PL.INCL-?
kawng	25	ka-wng	1SG-?
nengniam	25	ne-ngniam	eat-?
kawlsing	25	ka-wlsing	1SG-?
simna	25	sim-na	?-NMLZ
giatna	25	giat-na	?-NMLZ
dawna	25	daw-na	?-NMLZ
ngeite	25	ngei-te	?-PL
arnon	25	a-rnon	3SG-?
hawlkhiat	25	hawl-khiat	seek-?
arabah	25	a-rabah	3SG-?
kaikhia	25	ka-ikhia	1SG-?
khanglo	25	khang-lo	generation-?
thatlum	25	that-lum	kill-?
milian	25	mi-lian	person-?
hiram	25	hi-ram	be-?
maizumsak	25	mai-zumsak	face-?
gahte	24	gah-te	?-PL
suahna	24	suah-na	?-NMLZ
bawnghon	24	ba-wnghon	owe-?
nungakte	24	nung-ak-te	live-?-PL
mul	24	mu-l	see.I-?
kahlei	24	ka-hlei	1SG-?
tuunote	24	tuuno-te	?-PL
mitphial	24	mit-phial	eye-?
paipihto	24	paipih-to	accompany-?
sumgolh	24	sum-golh	money-?
khual	24	khua-l	town-?
mizawng	24	mi-zawng	person-?
val	24	va-l	go.and-?
kizepna	24	kizep-na	?-NMLZ
gingte	24	ging-te	?-PL
nitna	24	ni-t-na	day-?-NMLZ
muk	24	mu-k	see.I-?
khenuai	24	khen-uai	divide-?
lakhish	24	lak-hish	take-?
khualna	24	khua-l-na	town-?-NMLZ
ahijah	24	a-hi-jah	3SG-be-?
nebat	24	ne-bat	eat-?
gennop	24	gen-nop	speak-?
tuiphumpa	24	tui-phumpa	water-?
antiok	24	a-ntiok	3SG-?
pahpah	23	pa-hpah	father-?
paubaang	23	pau-baang	speak-?
pangah	23	pa-ngah	father-?
khuakhal	23	khua-khal	town-?
veilam	23	ve-ilam	do-?
naih	23	na-ih	2SG-?
bawngte	23	ba-wng-te	owe-?-PL
lakik	23	lak-ik	take-?
nausuak	23	na-usuak	2SG-?
tomno	23	to-mno	sit-?
mipih	23	mi-pih	person-?
nadab	23	na-dab	2SG-?
nuh	23	nu-h	mother-?
tawntungun	23	tawntung-un	eternity-?
nulepa	23	nu-lepa	mother-?
haite	23	hai-te	?-PL
mittang	23	mit-tang	eye-?
gensawn	23	gen-sawn	speak-?
gamdai	23	gam-dai	land-?
cihtakna	23	cih-tak-na	say.NOM-?-NMLZ
khawlin	23	kha-wlin	spirit-?
galkapmangte	23	galkap-mang-te	soldier-?-PL
sepsa	23	sep-sa	work-?
thuteng	23	thu-teng	word-?
thumu	23	thu-mu	word-?
nabal	23	na-ba-l	2SG-owe-?
pawlpih	23	pa-wlpih	father-?
tuihualte	23	tui-hual-te	water-?-PL
kiphasakte	23	kiphasak-te	?-PL
ihmut	22	i-hmut	1PL.INCL-?
zagiat	22	za-giat	hear.I-?
thukim	22	thu-kim	word-?
khualzinna	22	khua-lzin-na	town-?-NMLZ
sukha	22	suk-ha	make.become-?
hoihpente	22	hoih-pen-te	be.good-?-PL
thuhilhin	22	thu-hilhin	word-?
lungkimsak	22	lung-kimsak	feel-?
tuucingte	22	tuucing-te	?-PL
nipikal	22	ni-pikal	day-?
keeltal	22	keel-tal	heel-?
letsongte	22	let-song-te	return-?-PL
mangte	22	mang-te	?-PL
netum	22	ne-tum	eat-?
balkek	22	ba-lkek	owe-?
phawkna	22	phawk-na	?-NMLZ
leengpeite	22	leeng-pei-te	chariot-?-PL
khensak	22	khen-sak	divide-?
khialsak	22	khial-sak	err-?
kawnggak	22	ka-wnggak	1SG-?
khutme	22	khut-me	hand-?
kithahna	22	kithah-na	?-NMLZ
nidanga	22	ni-danga	day-?
naomi	22	na-om-i	2SG-exist-?
hihlam	22	hi-hlam	be-?
kidona	22	kido-na	?-NMLZ
khadet	22	kha-det	spirit-?
naboth	22	na-both	2SG-?
paktatte	22	pa-ktat-te	father-?-PL
ihihna	22	i-hi-h-na	1PL.INCL-be-?-NMLZ
hin	21	hi-n	be-?
hoihsa	21	hoih-sa	be.good-?
tuiciin	21	tui-ciin	water-?
ak	21	a-k	3SG-?
tengsak	21	teng-sak	dwell-?
ciktui	21	ci-ktui	say-?
baihin	21	ba-ihin	owe-?
cidam	21	ci-dam	say-?
balkekin	21	ba-lkekin	owe-?
lunghihmawhna	21	lung-hihmawh-na	feel-?-NMLZ
lopate	21	lopa-te	?-PL
kigenna	21	kigen-na	?-NMLZ
dingto	21	ding-to	stand-?
thuaknate	21	thuak-na-te	suffer-?-PL
piakhia	21	piak-hia	give.to-?
ithamar	21	i-thamar	1PL.INCL-?
sapna	21	sa-p-na	flesh-?-NMLZ
sianthona	21	siantho-na	?-NMLZ
meivakte	21	meivak-te	?-PL
sukham	21	suk-ham	make.become-?
sisate	21	sisa-te	?-PL
luangsak	21	luang-sak	corpse-?
theikung	21	thei-kung	know.I-?
theihtelna	21	theih-tel-na	know.II-?-NMLZ
thahatte	21	thahat-te	?-PL
khawng	21	kha-wng	spirit-?
ashdod	21	a-shdod	3SG-?
hihsak	21	hi-hsak	be-?
nektheih	21	nek-theih	eat.II-?
akhish	21	a-khish	3SG-?
piaktheih	21	piak-theih	give.to-?
tuikuangpi	21	tui-kuangpi	water-?
banbanin	21	ba-nbanin	owe-?
sairas	21	sa-iras	flesh-?
mihaute	21	mi-hau-te	person-?-PL
gamsa	20	gam-sa	land-?
baang	20	ba-ang	owe-?
nahor	20	na-hor	2SG-?
cianga	20	cian-ga	announce-?
neihsun	20	neih-sun	have.II-?
hoihsak	20	hoih-sak	be.good-?
khatte	20	kha-t-te	spirit-?-PL
bawlsiat	20	bawl-siat	make-?
naaman	20	na-am-an	2SG-sink-?
vanging	20	va-nging	go.and-?
khangnote	20	khang-no-te	generation-?-PL
bullente	20	bullen-te	?-PL
anletui	20	a-nletui	3SG-?
omsa	20	om-sa	exist-?
puapa	20	pua-pa	carry.on.back-?
tuinak	20	tui-nak	water-?
mindai	20	min-dai	name-?
ngawh	20	nga-wh	endure-?
kuana	20	kua-na	?-NMLZ
nethanel	20	ne-thanel	eat-?
pangin	20	pa-ngin	father-?
sauvei	20	sau-vei	long-?
anathoth	20	a-nathoth	3SG-?
vat	20	va-t	go.and-?
genthei	20	gen-thei	speak-?
khansau	20	kha-nsau	spirit-?
puansan	20	pua-nsan	carry.on.back-?
muhtheih	20	muh-theih	see.II-?
ahithofel	20	a-hi-thofel	3SG-be-?
amon	20	a-mon	3SG-?
umlebeel	20	um-lebeel	believe-?
ahikam	20	a-hi-kam	3SG-be-?
nethaniah	20	ne-thaniah	eat-?
maizumin	20	mai-zumin	face-?
thawhkikna	20	thawhkik-na	?-NMLZ
kipiakna	19	kipiak-na	?-NMLZ
khangto	19	khang-to	generation-?
kadesh	19	ka-desh	1SG-?
midik	19	mi-dik	person-?
thumsak	19	thu-msak	word-?
hingsak	19	hi-ngsak	be-?
vaihawmna	19	va-ihawm-na	go.and-?-NMLZ
sinsona	19	sinso-na	?-NMLZ
nupite	19	nu-pi-te	mother-?-PL
tom	19	to-m	sit-?
semsak	19	sem-sak	serve-?
cikmah	19	ci-kmah	say-?
zankim	19	za-nkim	hear.I-?
zal	19	za-l	hear.I-?
ngakna	19	nga-k-na	endure-?-NMLZ
bawk	19	ba-wk	owe-?
umlebeelte	19	um-lebeel-te	believe-?-PL
leengguite	19	leeng-gui-te	chariot-?-PL
kikhawmte	19	kikhawm-te	?-PL
taina	19	tai-na	?-NMLZ
pangsim	19	pa-ngsim	father-?
dingteng	19	ding-teng	stand-?
langpangte	19	langpang-te	?-PL
pahtak	19	pa-htak	father-?
galkapmang	19	galkap-mang	soldier-?
nawngkaisak	19	na-wngkaisak	2SG-?
nitaang	19	ni-taang	day-?
lungkimna	19	lung-kim-na	feel-?-NMLZ
inndeite	19	i-nndei-te	1PL.INCL-?-PL
khuamluzepna	19	khua-mluzep-na	town-?-NMLZ
huaiham	19	huai-ham	dread-?
semkhawm	19	sem-khawm	serve-?
innsunga	19	i-nnsunga	1PL.INCL-?
cihtak	19	cih-tak	say.NOM-?
gamdangte	19	gam-dang-te	land-?-PL
mawhneite	19	mawhnei-te	?-PL
bawlsiate	19	bawl-sia-te	make-?-PL
cinate	19	ci-na-te	say-?-PL
asia	19	a-sia	3SG-?
khenkhia	18	khen-khia	divide-?
deihhuai	18	deih-huai	want-?
enok	18	en-ok	look-?
veilamah	18	ve-ilamah	do-?
bawngla	18	ba-wngla	owe-?
tuhuna	18	tuhu-na	?-NMLZ
nesak	18	ne-sak	eat-?
bawnghonte	18	ba-wnghon-te	owe-?-PL
khop	18	kho-p	labor-?
paikikin	18	pai-kikin	go-?
khauhual	18	kha-uhual	spirit-?
kikhumna	18	kikhum-na	?-NMLZ
mindaisak	18	min-daisak	name-?
luite	18	lu-i-te	head-?-PL
khuamte	18	khua-m-te	town-?-PL
peemtate	18	peemta-te	?-PL
liamna	18	liam-na	?-NMLZ
uite	18	ui-te	?-PL
paakte	18	pa-ak-te	father-?-PL
paitoh	18	pai-toh	go-?
khamul	18	kham-ul	forbid-?
khuapikulh	18	khuapi-kulh	city-?
tangtung	18	tangtun-g	arrive-?
minphatna	18	min-phat-na	name-?-NMLZ
sangzaw	18	sang-zaw	high-?
khenthei	18	khen-thei	divide-?
ngahkhawm	18	ngah-khawm	get-?
kulhpite	18	kulhpi-te	?-PL
lungmuanna	18	lung-muan-na	feel-?-NMLZ
paaikhia	18	pa-aikhia	father-?
kulhkongpite	18	kulhkongpi-te	?-PL
vanah	18	va-nah	go.and-?
keilah	18	ke-ilah	foot-?
thugennate	18	thugen-na-te	preach-?-PL
gihna	18	gih-na	?-NMLZ
sumai	18	sum-ai	money-?
hunsung	18	hun-sung	time-?
abigail	18	a-bigail	3SG-?
gamtatsia	18	gam-tatsia	land-?
asahel	18	a-sa-hel	3SG-flesh-?
amasa	18	a-masa	3SG-?
inntual	18	i-nntual	1PL.INCL-?
hingkiksak	18	hi-ngkiksak	be-?
khemsa	18	khem-sa	restrain-?
theigah	18	thei-gah	know.I-?
kawmte	18	ka-wm-te	1SG-?-PL
zahtakbawl	18	zahtak-bawl	honor-?
kidenna	18	kiden-na	?-NMLZ
muanin	18	mu-anin	see.I-?
khawhlawhte	18	kha-whlawh-te	spirit-?-PL
vaksak	17	vak-sak	walk-?
puanbukte	17	pua-nbuk-te	carry.on.back-?-PL
gimnate	17	gimna-te	?-PL
nupa	17	nu-pa	mother-?
sarai	17	sa-rai	flesh-?
kawl	17	ka-wl	1SG-?
neh	17	ne-h	eat-?
naupaii	17	na-upa-ii	2SG-elder-?
nawlah	17	na-wlah	2SG-?
ngaihbaang	17	ngaih-baang	listen.II-?
mudahin	17	mu-dahin	see.I-?
keelno	17	keel-no	heel-?
encik	17	en-cik	look-?
sukkoth	17	suk-koth	make.become-?
lupkhop	17	lup-khop	bow.down-?
koihsak	17	koih-sak	put-?
milipin	17	mi-lipin	person-?
zatui	17	za-tui	hear.I-?
pawlin	17	pa-wlin	father-?
khoi	17	kho-i	labor-?
amminadab	17	a-mminadab	3SG-?
gunte	17	gun-te	?-PL
denna	17	den-na	?-NMLZ
tuamcip	17	tuam-cip	promise-?
gukte	17	guk-te	?-PL
khuampeekte	17	khua-mpeek-te	town-?-PL
banto	17	ba-nto	owe-?
kaih	17	ka-ih	1SG-?
mawkmawkte	17	mawkmawk-te	?-PL
bukkongah	17	buk-kongah	ambush-?
cithak	17	ci-thak	say-?
dingsak	17	ding-sak	stand-?
zatna	17	za-t-na	hear.I-?-NMLZ
anak	17	a-nak	3SG-?
teembawte	17	teembaw-te	?-PL
lamlahna	17	lamlah-na	?-NMLZ
hawlkhiatna	17	hawl-khiat-na	seek-?-NMLZ
bulpite	17	bulpi-te	?-PL
vanpi	17	va-npi	go.and-?
umcihin	17	um-cihin	believe-?
thupizaw	17	thu-pizaw	word-?
innpi	17	i-nnpi	1PL.INCL-?
nuamsak	17	nuam-sak	want-?
khuacingte	17	khua-cing-te	town-?-PL
ner	17	ne-r	eat-?
ahimelek	17	a-hi-melek	3SG-be-?
zongte	17	zong-te	?-PL
ziba	17	zi-ba	wife-?
hamphatna	17	hamphat-na	?-NMLZ
sawmthumte	17	sa-wmthum-te	flesh-?-PL
sangpen	17	sang-pen	high-?
nihveina	17	ni-hvei-na	day-?-NMLZ
khialhsakna	17	khial-hsak-na	err-?-NMLZ
omri	17	om-ri	exist-?
athaliah	17	a-thaliah	3SG-?
biate	17	bia-te	?-PL
mattaniah	17	mat-taniah	grasp-?
tobiah	17	to-biah	sit-?
thuakzawh	17	thuak-zawh	suffer-?
gutate	17	guta-te	?-PL
huaihamna	17	huai-ham-na	dread-?-NMLZ
sikkhau	17	sik-khau	repent-?
puanpak	17	pua-npak	carry.on.back-?
kapernaum	17	ka-pernaum	1SG-?
naseppih	17	na-sep-pih	2SG-work-?
puansilh	16	pua-nsilh	carry.on.back-?
khawh	16	kha-wh	spirit-?
khangsimna	16	khang-sim-na	generation-?-NMLZ
migi	16	mi-gi	person-?
naihin	16	na-ihin	2SG-?
ngatin	16	nga-tin	endure-?
kongkhakah	16	kong-kha-kah	1SG→3-spirit-?
suakkhia	16	suak-khia	become-?
khuang	16	khua-ng	town-?
khapna	16	kha-p-na	spirit-?-NMLZ
hilhkhol	16	hilh-khol	teach-?
leina	16	lei-na	?-NMLZ
keek	16	ke-ek	foot-?
cikmahin	16	ci-kmahin	say-?
hanna	16	han-na	?-NMLZ
miriam	16	mi-riam	person-?
kat	16	ka-t	1SG-?
kualte	16	kual-te	?-PL
sakhat	16	sak-hat	cause-?
tuutalte	16	tuutal-te	?-PL
ngunte	16	ngun-te	?-PL
sawpin	16	sa-wpin	flesh-?
tukna	16	tuk-na	?-NMLZ
samsiat	16	sam-siat	call-?
vaan	16	va-an	go.and-?
khamtheihzu	16	kham-theihzu	forbid-?
mikhael	16	mi-khael	person-?
hilhkholhna	16	hilh-kholh-na	teach-?-NMLZ
galhangte	16	galhang-te	?-PL
aroer	16	a-roer	3SG-?
panna	16	pa-n-na	father-?-NMLZ
ommawk	16	om-mawk	exist-?
gentheih	16	gen-theih	speak-?
mikhal	16	mi-khal	person-?
thukimna	16	thu-kim-na	word-?-NMLZ
puanung	16	pua-nung	carry.on.back-?
anne	16	a-nne	3SG-?
suangmanphate	16	suangmanpha-te	?-PL
biakinnsung	16	biakinn-sung	temple-?
halna	16	hal-na	?-NMLZ
nebuzaradan	16	ne-buzaradan	eat-?
