lexeme_id	form_i	form_ii	gloss	alternation_type	source_henderson	source_zam_ngaih_cing	source_vsa_questionnaire	source_analyzer_inventory	source_bible_audit	source_project_review	source_notes	lexical_category	category_evidence	form_i_bible_attested	form_ii_bible_attested	form_i_clean_token_count	form_ii_clean_token_count	form_i_family_count	form_ii_family_count	clean_verb_form_i_count	clean_verb_form_ii_count	best_form_i_examples	best_form_ii_examples	best_clean_verb_form_i_examples	best_clean_verb_form_ii_examples	nominalized_examples	dependent_temporal_examples	purpose_examples	relative_or_attributive_examples	negative_examples	finite_predicate_examples	derived_or_causative_examples	compound_or_lexicalized_examples	homophone_or_noise_notes	bible_attestation_profile	lexical_pair_status	recommended_grammar_treatment	print_example_status	promotion_status	promotion_blocker	notes
hi-hi	hi	hi	be	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *hi-I/*hi-II -> hi/hi. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to hi-hih.	same_form_questionnaire_control	POS profile FUNC:47025, PRON:1; clean verbal exact rows I=0, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	47026	0	47026	0	0	0	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]						Luke 10:36 `hi` [purpose_nadingin; needs_analyzer_review]; John 9:17 `hi` [purpose_nadingin; needs_analyzer_review]	Zephaniah 2:5 `hi` [relative_or_attributive_mi; needs_analyzer_review]; Zechariah 8:10 `hi` [relative_or_attributive_mi; needs_analyzer_review]	Zephaniah 3:6 `hi` [negative_clause; needs_analyzer_review]; Zephaniah 3:6 `hi` [negative_clause; needs_analyzer_review]	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Shared Form I base with hi-hih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
hi-hih	hi	hih	be	+h	yes	no	no	yes	yes	no	`source_henderson=yes` means the in-repo literature review aligns this pair directly to Henderson; it does not claim an exhaustive extracted Henderson pair list.	auxiliary_or_functional_verb	POS profile FUNC:47124, DET:5210, N:1302; clean verbal exact rows I=46932, II=0. The pair behaves mainly as copular, quotative, existential, or otherwise functional material.	yes	yes	47026	5322	47853	6399	46932	0	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]	Zechariah 1:21 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:5 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:13 `hih` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]		Zechariah 6:15 `ahihna` [nominalized_na; needs_analyzer_review]; Zechariah 2:11 `ahihna` [nominalized_na; needs_analyzer_review]	Ruth 4:6 `hih` [dependent_temporal_ciangin; needs_analyzer_review]; Ruth 3:9 `hih` [dependent_temporal_ciangin; needs_analyzer_review]	Zechariah 1:6 `hih` [purpose_nadingin; needs_analyzer_review]; Romans 16:2 `hih` [purpose_nadingin; needs_analyzer_review]	Zephaniah 2:5 `hi` [relative_or_attributive_mi; needs_analyzer_review]; Zechariah 8:10 `hi` [relative_or_attributive_mi; needs_analyzer_review]	Zephaniah 3:6 `hi` [negative_clause; needs_analyzer_review]; Zephaniah 3:6 `hi` [negative_clause; needs_analyzer_review]	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]	Ruth 3:11 `hihsak` [causative_or_derivational_sak; exclude_for_now]; Psalms 20:7 `kihihsakpih` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes hihsak, kihihsakna, kihisakin, kihihsakpih.	both_forms_cleanly_attested	established_pair	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	mention_in_inventory_only	category_mismatch	
hoih-hoih	hoih	hoih	good	other / irregular / uncertain	no	yes	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *hoih-I/*hoih-II -> hoih/hoih. The questionnaire uses the same written form in both slots. `source_zam_ngaih_cing=yes` means the in-repo literature review aligns this pair directly to Zam Ngaih Cing; it does not claim an exhaustive extracted Stem 1/2 list.	same_form_questionnaire_control	POS profile ADJ:662, N:9; clean verbal exact rows I=0, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	671	0	671	0	0	0	Titus 3:8 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:4 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Psalms 147:1 `hoih` [finite_main_or_matrix; needs_analyzer_review]					Psalms 69:13 `hoih` [dependent_temporal_ciangin; needs_analyzer_review]; Job 10:15 `hoih` [dependent_temporal_ciangin; needs_analyzer_review]	Titus 2:7 `hoih` [purpose_nadingin; needs_analyzer_review]; Romans 9:3 `hoih` [purpose_nadingin; needs_analyzer_review]	Romans 2:10 `hoih` [possessed_or_genitive_attributive; needs_analyzer_review]; Acts 3:14 `hoih` [possessed_or_genitive_attributive; needs_analyzer_review]	Titus 1:16 `hoih` [negative_clause; needs_analyzer_review]; Romans 1:28 `hoih` [negative_clause; needs_analyzer_review]	Titus 3:8 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:4 `hoih` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
hong-hong	hong	hong	come	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *hong-I/*hong-II -> hong/hong. The questionnaire uses the same written form in both slots.	same_form_questionnaire_control	POS profile V:15398; clean verbal exact rows I=15398, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	15398	0	15398	0	15398	0	Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review]		Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review]			Revelation 17:12 `hong` [clause_linking_kipan; needs_analyzer_review]; Revelation 11:17 `hong` [clause_linking_kipan; needs_analyzer_review]	Song of Solomon 5:5 `hong` [purpose_nadingin; needs_analyzer_review]; Romans 6:13 `hong` [purpose_nadingin; needs_analyzer_review]		Zephaniah 3:8 `hong` [negative_clause; needs_analyzer_review]; Zephaniah 3:7 `hong` [negative_clause; needs_analyzer_review]	Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
honkhia-honkhiat	honkhia	honkhiat	bring.out	+t	no	no	no	yes	yes	yes	This pair is discussed in current project review materials.	lexicalized_or_category_mixed	POS profile V:345, N:18, FUNC:1; clean verbal exact rows I=0, II=0. The family mixes lexicalized, derivational, or category-shifting material.	yes	yes	0	0	363	1	0	0	Zephaniah 1:18 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:16 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:7 `honkhia` [compound_or_lexicalized; exclude_for_now]	Revelation 6:1 `honkhiat` [compound_or_lexicalized; exclude_for_now]										Zephaniah 1:18 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:16 `honkhia` [compound_or_lexicalized; exclude_for_now]	Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes honkhia, kihonkhia, kihonkhiazo, kihonkhia-in.	only_noisy_or_lexicalized_attested	lexicalized_or_category_mixed	discuss_under_lexicalized_or_excluded_forms	exclude_for_now	discuss_as_difficult_case	category_mismatch	Current Bible evidence is limited to noisy, lexicalized, or heavily derived material.
hu-huh	hu	huh	help	+h	no	no	yes	no	yes	yes	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *huh-I/*huh-II -> hu/huh. Present in the publication-review packet, but absent from VERB_STEM_PAIRS. This pair is discussed in current project review materials.	lexicalized_or_category_mixed	POS profile V:471, N:136, PRON:11; clean verbal exact rows I=0, II=0. The family mixes lexicalized, derivational, or category-shifting material.	yes	yes	0	0	164	464	0	0	Zechariah 9:8 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:15 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 2:5 `hu` [compound_or_lexicalized; exclude_for_now]	Zephaniah 3:12 `huhna` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:2 `huh` [compound_or_lexicalized; exclude_for_now]; Zechariah 6:15 `huh` [compound_or_lexicalized; exclude_for_now]										Zephaniah 3:12 `huhna` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:8 `hu` [compound_or_lexicalized; exclude_for_now]	Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes huh, hu, huhna, huhin.	only_noisy_or_lexicalized_attested	lexicalized_or_category_mixed	discuss_under_lexicalized_or_excluded_forms	exclude_for_now	discuss_as_difficult_case	category_mismatch	Current Bible evidence is limited to noisy, lexicalized, or heavily derived material.
husia-husiat	husia	husiat	tempest	+t	no	no	no	yes	yes	no		lexical_verb	POS profile V:6, N:3; clean verbal exact rows I=6, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	no	6	0	9	0	6	0	Revelation 16:18 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:3 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 18:8 `husia` [finite_main_or_matrix; needs_analyzer_review]		Revelation 16:18 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:3 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 18:8 `husia` [finite_main_or_matrix; needs_analyzer_review]							Revelation 16:18 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:3 `husia` [finite_main_or_matrix; needs_analyzer_review]				form_i_only_attested	analyzer_pair_needs_review	omit_pending_evidence	needs_analyzer_review	mention_in_inventory_only	no_clean_form_ii_verb_example	Only one stem side is currently attested cleanly in the Bible corpus.
keu-keuh	keu	keuh	dig	+h	no	no	no	yes	yes	no		noun_or_nominal_compound	POS profile N:129, V:25, FUNC:19; clean verbal exact rows I=0, II=0. Current Bible hits are predominantly nominal, locative, or compound-like rather than verbal.	yes	yes	59	1	166	7	0	0	Psalms 90:6 `keu` [finite_main_or_matrix; needs_analyzer_review]; Matthew 13:6 `keu` [finite_main_or_matrix; needs_analyzer_review]; Jonah 4:7 `keu` [finite_main_or_matrix; needs_analyzer_review]	Isaiah 34:15 `keuh` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:13 `kiuhkeuh` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:12 `kiuhkeuh` [finite_main_or_matrix; needs_analyzer_review]			Psalms 126:4 `keuna` [nominalized_na; needs_analyzer_review]; Matthew 12:43 `keuna` [nominalized_na; needs_analyzer_review]	Isaiah 27:11 `keu` [dependent_temporal_ciangin; needs_analyzer_review]			Revelation 14:5 `kiuhkeuh` [negative_clause; needs_analyzer_review]; Judges 16:8 `keu` [negative_clause; needs_analyzer_review]	Song of Solomon 7:2 `kiukeu` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:13 `kiuhkeuh` [finite_main_or_matrix; needs_analyzer_review]	Psalms 58:7 `keutumsak` [causative_or_derivational_sak; exclude_for_now]; Luke 7:44 `nulkeusak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes keusak, keutumsak, keuhsak, keusakin.	both_forms_cleanly_attested	likely_pair	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	block_from_verb_inventory_pending_review	nominal_or_compound_examples_only	
khai-khaih	khai	khaih	hold	+h	no	no	no	yes	yes	no		lexical_verb	POS profile N:150, V:65, FUNC:12; clean verbal exact rows I=0, II=0.	yes	yes	61	2	235	2	0	0	Psalms 74:4 `khai` [finite_main_or_matrix; needs_analyzer_review]; Psalms 137:2 `khai` [finite_main_or_matrix; needs_analyzer_review]; Numbers 21:9 `khai` [finite_main_or_matrix; needs_analyzer_review]	Proverbs 9:2 `khaih` [unknown_or_needs_review; needs_analyzer_review]; Matthew 23:24 `khaih` [unknown_or_needs_review; needs_analyzer_review]			Proverbs 20:23 `tawikhaina` [nominalized_na; needs_analyzer_review]; Proverbs 16:11 `tawikhaina` [nominalized_na; needs_analyzer_review]	Psalms 62:9 `kikhai` [dependent_temporal_ciangin; needs_analyzer_review]	Matthew 20:19 `khai` [purpose_nadingin; needs_analyzer_review]; Exodus 38:28 `vankhai` [purpose_nadingin; needs_analyzer_review]	Galatians 3:13 `kikhai` [relative_or_attributive_mi; needs_analyzer_review]; 2 Samuel 21:13 `kikhai` [relative_or_attributive_mi; needs_analyzer_review]	Matthew 6:26 `khai` [negative_clause; needs_analyzer_review]; Luke 12:24 `khai` [negative_clause; needs_analyzer_review]	Song of Solomon 4:4 `kikhai` [finite_main_or_matrix; needs_analyzer_review]; Romans 16:13 `kikhai` [finite_main_or_matrix; needs_analyzer_review]	Lamentations 5:12 `kikhailupsak` [causative_or_derivational_sak; exclude_for_now]; Jeremiah 10:20 `khaisak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes khaisak, kikhailupsak.	both_forms_cleanly_attested	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	block_from_verb_inventory_pending_review	no_clean_form_i_verb_example	
khawl-khawl	khawl	khawl	rest	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *khawl-I/*khawl-II -> khawl/khawl. The questionnaire uses the same written form in both slots.	same_form_questionnaire_control	POS profile V:104, N:3; clean verbal exact rows I=104, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	107	0	107	0	104	0	Zechariah 1:8 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 1:11 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 1:7 `khawl` [finite_main_or_matrix; needs_analyzer_review]		Zechariah 1:8 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 1:11 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 1:7 `khawl` [finite_main_or_matrix; needs_analyzer_review]			Numbers 10:36 `khawl` [dependent_temporal_ciangin; needs_analyzer_review]; Habakkuk 3:6 `khawl` [dependent_temporal_ciangin; needs_analyzer_review]	Hosea 2:2 `khawl` [purpose_nadingin; needs_analyzer_review]; Ezra 6:8 `khawl` [purpose_nadingin; needs_analyzer_review]		Revelation 9:21 `khawl` [negative_clause; needs_analyzer_review]; Revelation 9:20 `khawl` [negative_clause; needs_analyzer_review]	Zechariah 1:8 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 1:11 `khawl` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
khen-khen	khen	khen	divide	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *khen-I/*khen-II -> khen/khen. The questionnaire uses the same written form in both slots.	same_form_questionnaire_control	POS profile V:257, PRON:10; clean verbal exact rows I=257, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	267	0	267	0	257	0	Romans 9:28 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:27 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:11 `khen` [finite_main_or_matrix; needs_analyzer_review]		Romans 9:28 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:27 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:11 `khen` [finite_main_or_matrix; needs_analyzer_review]			Proverbs 16:10 `khen` [dependent_temporal_ciangin; needs_analyzer_review]; James 2:13 `khen` [dependent_temporal_ciangin; needs_analyzer_review]	Psalms 96:11 `khen` [purpose_nadingin; needs_analyzer_review]; Psalms 50:4 `khen` [purpose_nadingin; needs_analyzer_review]		Matthew 19:6 `khen` [negative_clause; needs_analyzer_review]; Luke 6:37 `khen` [negative_clause; needs_analyzer_review]	Romans 9:28 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:27 `khen` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
khial-khialh	khial	khialh	err	+h	no	no	no	yes	yes	no		lexical_verb	POS profile N:496, V:275, FUNC:4; clean verbal exact rows I=171, II=54. Exact verbal evidence survives after lexical-category filtering.	yes	yes	176	54	268	507	171	54	Zephaniah 1:17 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:20 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 11:22 `khial` [finite_main_or_matrix; needs_analyzer_review]	Romans 5:14 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 1:17 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:20 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 11:22 `khial` [finite_main_or_matrix; needs_analyzer_review]	Romans 5:14 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review]	Titus 3:11 `khialhna` [nominalized_na; needs_analyzer_review]; Titus 1:9 `khialhna` [nominalized_na; needs_analyzer_review]	Numbers 15:28 `khialh` [dependent_temporal_ciangin; needs_analyzer_review]; Matthew 18:21 `khialh` [dependent_temporal_ciangin; needs_analyzer_review]	Psalms 39:1 `khialhloh` [purpose_nadingin; needs_analyzer_review]; Psalms 119:11 `khialh` [purpose_nadingin; needs_analyzer_review]	Psalms 95:10 `khial` [relative_or_attributive_mi; needs_analyzer_review]; Numbers 5:8 `khial` [relative_or_attributive_mi; needs_analyzer_review]	Romans 5:14 `khial` [negative_clause; needs_analyzer_review]; Psalms 51:5 `khialsa` [negative_clause; needs_analyzer_review]	Zephaniah 1:17 `khial` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 10:2 `lakkhial` [finite_main_or_matrix; needs_analyzer_review]	Proverbs 14:8 `khialsak` [causative_or_derivational_sak; exclude_for_now]; Nehemiah 13:26 `khialsakzo` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes khialsak, khialhsakna, khialhsak, khialsakin.	both_forms_cleanly_attested	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	promote_with_caveat	needs_manual_philological_review	
kho-khoh	kho	khoh	labor	+h	no	no	no	yes	yes	no		lexical_verb	POS profile V:61, N:14, FUNC:8; clean verbal exact rows I=45, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	yes	45	1	77	6	45	0	Zechariah 13:3 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 6:7 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:3 `kho` [finite_main_or_matrix; needs_analyzer_review]	Jeremiah 36:25 `khoh` [finite_main_or_matrix; needs_analyzer_review]; Matthew 22:5 `khohsa` [unknown_or_needs_review; needs_analyzer_review]; Matthew 22:3 `khohsa` [unknown_or_needs_review; needs_analyzer_review]	Zechariah 13:3 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 6:7 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:3 `kho` [finite_main_or_matrix; needs_analyzer_review]				Song of Solomon 8:11 `kho` [purpose_nadingin; needs_analyzer_review]; Jeremiah 52:16 `kho` [purpose_nadingin; needs_analyzer_review]		Psalms 129:3 `khote` [negative_clause; needs_analyzer_review]; Proverbs 28:17 `kho` [negative_clause; needs_analyzer_review]	Zechariah 13:3 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 6:7 `kho` [finite_main_or_matrix; needs_analyzer_review]	Matthew 22:4 `khohsaksa` [causative_or_derivational_sak; exclude_for_now]; Matthew 21:41 `khosak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes khosak, khohsaksa.	both_forms_cleanly_attested	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	mention_in_inventory_only	needs_manual_philological_review	Shared Form I base with kho-khot.
kho-khot	kho	khot	labor	+t	no	no	no	yes	yes	no		analyzer_only_uncertain	POS profile N:2; clean verbal exact rows I=0, II=0. The analyzer proposes the pair, but the Bible evidence still needs philological review.	no	yes	0	0	0	2	0	0		Matthew 19:21 `khotte` [unknown_or_needs_review; needs_analyzer_review]; Luke 18:22 `khotte` [unknown_or_needs_review; needs_analyzer_review]												only_noisy_or_lexicalized_attested	homophone_or_noise_only	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	mention_in_inventory_only	analyzer_pair_only	Shared Form I base with kho-khoh. Current Bible evidence is limited to noisy, lexicalized, or heavily derived material.
khua-khuat	khua	khuat	town	+t	no	no	no	yes	yes	no		noun_or_nominal_compound	POS profile N:3063, FUNC:501, V:127; clean verbal exact rows I=0, II=0. Current Bible hits are predominantly nominal, locative, or compound-like rather than verbal.	yes	yes	980	2	3708	3	0	0	Jeremiah 51:49 `khua` [imperative_or_directive; needs_analyzer_review]; Jeremiah 51:35 `khua` [imperative_or_directive; needs_analyzer_review]; Isaiah 15:9 `khua` [imperative_or_directive; needs_analyzer_review]	Job 39:21 `khuat` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 13:7 `khuat` [unknown_or_needs_review; needs_analyzer_review]; Genesis 50:5 `khuatsa` [finite_main_or_matrix; needs_analyzer_review]			Psalms 88:12 `Khuamialna` [nominalized_na; needs_analyzer_review]; Matthew 8:12 `khuamialna-ah` [nominalized_na; needs_analyzer_review]	Luke 24:47 `khua` [clause_linking_kipan; needs_analyzer_review]; Jeremiah 48:24 `khua` [clause_linking_kipan; needs_analyzer_review]	Psalms 105:39 `khua` [purpose_nadingin; needs_analyzer_review]; Numbers 35:14 `khuapi` [purpose_nadingin; needs_analyzer_review]	Zechariah 7:7 `khuapite-ah` [possessed_or_genitive_attributive; needs_analyzer_review]; Micah 6:12 `khuasung` [relative_or_attributive_mi; needs_analyzer_review]	Song of Solomon 8:10 `khuakulh` [negative_clause; needs_analyzer_review]; Romans 11:8 `khua` [negative_clause; needs_analyzer_review]	Zephaniah 3:6 `khuapi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:11 `khua-a` [finite_main_or_matrix; needs_analyzer_review]				both_forms_cleanly_attested	likely_pair	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	block_from_verb_inventory_pending_review	nominal_or_compound_examples_only	
khum-khum	khum	khum	cover/lock	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *khum-I/*khum-II -> khum/khum. The questionnaire uses the same written form in both slots.	same_form_questionnaire_control	POS profile V:60; clean verbal exact rows I=60, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	60	0	60	0	60	0	Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:16 `khum` [finite_main_or_matrix; needs_analyzer_review]		Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:16 `khum` [finite_main_or_matrix; needs_analyzer_review]				Isaiah 5:20 `khum` [purpose_nadingin; needs_analyzer_review]		John 20:25 `khum` [negative_clause; needs_analyzer_review]	Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
